Recipe name,Recipe Link,Image
Битые огурцы,https://cooklikemary.ru//recipe/zakuska/bitye-ogurcy,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_8756.jpg?itok=8Aw8elsn
Утиная грудка в азиатском стиле,https://cooklikemary.ru//recipe/ptica/utinaya-grudka-v-aziatskom-stile,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_8769.jpg?itok=HEerxkcd
"Вишневый пирог из сериала ""Твин Пикс""",https://cooklikemary.ru//recipe/desert-i-vypechka/vishnevyy-pirog-iz-seriala-tvin-piks,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_8704.jpg?itok=bjwOhFsN
"Пирог с вишней, черешней и миндальным кремом",https://cooklikemary.ru//recipe/pirogi/sladkiy-pirog/pirog-s-vishney-chereshney-i-mindalnym-kremom,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_8665.jpg?itok=ndh_wKWW
Шурпа в облегченной версии,https://cooklikemary.ru//recipe/sup/shurpa-v-oblegchennoy-versii,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/fullsizerender-16-07-19-15-37-2_0.jpg?itok=Alyzb8y4
Меренгово-фисташковый рулет с малиной,https://cooklikemary.ru//recipe/desert-i-vypechka/merengovo-fistashkovyy-rulet-s-malinoy,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_8630_2.jpg?itok=gqcwM-LC
"Тарталетки с маскарпоне, белым шоколадом и ноткой апельсина",https://cooklikemary.ru//recipe/desert-i-vypechka/torty-pirozhnye/tartaletki-s-maskarpone-belym-shokoladom-i-notkoy-apelsina,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_8549.jpg?itok=c6IyohIW
"Салат с крабом, тайским манго, авокадо, бакинскими помидорами и чипсами нори",https://cooklikemary.ru//recipe/salat/salat-s-krabom-tayskim-mango-avokado-bakinskimi-pomidorami-i-chipsami-nori,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/lrm_export_2315027949219_20190703_204849074.jpeg?itok=Z2NkRaOc
Пирог с ревенем и клубникой,https://cooklikemary.ru//recipe/pirogi/pirog-s-revenem-i-klubnikoy,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_8508.jpg?itok=JMDm3Prl
"Куриные голени, запеченные с чиабаттой (багетом), черри, маслинами и беконом",https://cooklikemary.ru//recipe/ptica/kurica/kurinye-goleni-zapechennye-s-chiabattoy-bagetom-cherri-maslinami-i-bekonom,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_8461-2.jpg?itok=tR_0NtYc
Окрошка на квасе,https://cooklikemary.ru//recipe/sup/okroshka-na-kvase,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/bez_imeni_1_iz_1-191_0.jpg?itok=hTGddAMs
"Сэндвич с яйцом-пашот, куриным наггетсом и авокадо",https://cooklikemary.ru//recipe/ptica/kurica/sendvich-s-yaycom-pashot-kurinym-naggetsom-i-avokado,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_8329_0.jpg?itok=eJWcpiyN
Голландский соус (соус голландез),https://cooklikemary.ru//recipe/sousy/gollandskiy-sous-sous-gollandez,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_8309_1.jpg?itok=GgQSwqtT
Классический салат Цезарь,https://cooklikemary.ru//recipe/salat/klassicheskiy-salat-cezar,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/shashlyk-1-3_0.jpg?itok=NXmWOgp5
Тарталетки с сезонными ягодами (земляника и клубника),https://cooklikemary.ru//recipe/desert-i-vypechka/torty-pirozhnye/tartaletki-s-sezonnymi-yagodami-zemlyanika-i-klubnika,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_7863-18-07-17-20-05.jpg?itok=ymYrO6Z3
Шашлык из свинины с соевым соусом и имбирем,https://cooklikemary.ru//recipe/myaso/shashlyk-iz-svininy-s-soevym-sousom-i-imbirem,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/shashlyk-1-4.jpg?itok=pfWyjCNS
Тарт с клубникой и заварным кремом,https://cooklikemary.ru//recipe/desert-i-vypechka/tart-s-klubnikoy-i-zavarnym-kremom,https://cooklikemary.ru/sites/default/files/styles/width_255_height_381/public/img_20190522_135158.jpg?itok=5ce-jnxP
